安,1187,an,3,1,0,10
固,1189,gu,12,0,1,10
注,1185,vu,19,0,1,10
冻,1182,ds,27,0,1,10
公,1190,gs,10,1,0,10
生,1188,ug,27,1,0,10
中药,1183,vsyc,14,1,0,10
合成,1192,heig,17,0,1,10
